,,"AUC as on August 31, 2024","Net Investment August 16-31, 2024","Net Investment September 01-15, 2024","AUC as on September 15, 2024"
,,IN INR Cr.,IN USD Mn,IN INR Cr.,IN USD Mn,IN INR Cr.,IN USD Mn,IN INR Cr.,IN USD Mn
,,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,"5,91,671",163,0,0,0,0,0,0,0,0,0,"5,91,834","70,545",19,0,0,0,0,0,0,0,0,0,"70,564",-751,0,-10,-,0,-,-,-,-,-,-,-761,-89,0,-1,-,0,-,-,-,-,-,-,-90,"-1,983",-127,0,0,0,0,0,0,0,0,0,"-2,110",-236,-15,0,0,0,0,0,0,0,0,0,-251,"5,78,527",37,0,0,0,0,0,0,0,0,0,"5,78,564","68,940",4,0,0,0,0,0,0,0,0,0,"68,944"
2,Capital Goods,"4,05,929",764,29,0,0,0,0,0,0,0,0,"4,06,722","48,399",91,3,0,0,0,0,0,0,0,0,"48,493",780,0,0,-,0,-,-,-,-,-,-,780,93,0,0,-,0,-,-,-,-,-,-,93,"1,778",-4,0,0,0,0,0,0,0,0,0,"1,774",212,0,0,0,0,0,0,0,0,0,0,212,"4,10,162",764,29,0,0,0,0,0,0,0,0,"4,10,955","48,877",91,3,0,0,0,0,0,0,0,0,"48,971"
3,Chemicals,"1,19,830",0,615,0,0,0,0,0,0,0,0,"1,20,445","14,287",0,73,0,0,0,0,0,0,0,0,"14,360",182,0,0,-,0,-,-,-,-,-,-,182,22,0,0,-,0,-,-,-,-,-,-,22,699,0,0,0,0,0,0,0,0,0,0,699,83,0,0,0,0,0,0,0,0,0,0,83,"1,22,869",0,615,0,0,0,0,0,0,0,0,"1,23,484","14,641",0,73,0,0,0,0,0,0,0,0,"14,714"
4,Construction,"1,46,176",235,0,0,82,0,0,0,0,0,0,"1,46,493","17,429",28,0,0,10,0,0,0,0,0,0,"17,467",-59,0,0,-,-8,-,-,-,-,-,-,-67,-7,0,0,-,-1,-,-,-,-,-,-,-8,584,-82,0,0,-1,0,0,0,0,0,0,501,70,-10,0,0,0,0,0,0,0,0,0,60,"1,43,442",153,0,0,83,0,0,0,0,0,0,"1,43,678","17,093",18,0,0,10,0,0,0,0,0,0,"17,121"
5,Construction Materials,"1,28,776","1,275",380,0,0,0,0,0,0,0,0,"1,30,431","15,354",152,45,0,0,0,0,0,0,0,0,"15,551",894,0,0,-,0,-,-,-,-,-,-,894,107,0,0,-,0,-,-,-,-,-,-,107,-393,0,0,0,0,0,0,0,0,0,0,-393,-47,0,0,0,0,0,0,0,0,0,0,-47,"1,32,692","1,275",380,0,0,0,0,0,0,0,0,"1,34,347","15,812",152,45,0,0,0,0,0,0,0,0,"16,009"
6,Consumer Durables,"2,29,429",125,0,0,0,0,0,0,0,0,0,"2,29,554","27,355",15,0,0,0,0,0,0,0,0,0,"27,370","5,297",0,0,-,0,-,-,-,-,-,-,"5,297",632,0,0,-,0,-,-,-,-,-,-,632,"2,226",0,0,0,0,0,0,0,0,0,0,"2,226",265,0,0,0,0,0,0,0,0,0,0,265,"2,44,187",125,0,0,0,0,0,0,0,0,0,"2,44,312","29,098",15,0,0,0,0,0,0,0,0,0,"29,113"
7,Consumer Services,"3,37,305","1,099",670,0,0,0,0,0,0,0,0,"3,39,074","40,217",131,80,0,0,0,0,0,0,0,0,"40,428","1,962",0,0,-,0,-,-,-,-,-,-,"1,962",234,0,0,-,0,-,-,-,-,-,-,234,-156,0,0,0,0,0,0,0,0,0,0,-156,-19,0,0,0,0,0,0,0,0,0,0,-19,"3,52,186","1,099",670,0,0,0,0,0,0,0,0,"3,53,955","41,968",131,80,0,0,0,0,0,0,0,0,"42,179"
8,Diversified,"7,583",218,0,0,0,0,0,0,0,0,0,"7,801",904,26,0,0,0,0,0,0,0,0,0,930,15,0,0,-,0,-,-,-,-,-,-,15,2,0,0,-,0,-,-,-,-,-,-,2,13,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,2,"7,899",218,0,0,0,0,0,0,0,0,0,"8,117",941,26,0,0,0,0,0,0,0,0,0,967
9,Fast Moving Consumer Goods,"4,69,262",115,285,0,0,0,0,0,0,0,0,"4,69,662","55,950",14,34,0,0,0,0,0,0,0,0,"55,998","1,815",0,0,-,0,-,-,-,-,-,-,"1,815",216,0,0,-,0,-,-,-,-,-,-,216,"1,372",0,0,0,0,0,0,0,0,0,0,"1,372",163,0,0,0,0,0,0,0,0,0,0,163,"4,85,603",115,285,0,0,0,0,0,0,0,0,"4,86,003","57,866",14,34,0,0,0,0,0,0,0,0,"57,914"
10,Financial Services,"20,67,809","21,382","14,878",0,0,0,0,0,0,273,0,"21,04,342","2,46,547","2,549","1,774",0,0,0,0,0,0,33,0,"2,50,903","2,782",602,381,-,0,-,-,-,-,-,-,"3,765",332,72,45,-,0,-,-,-,-,-,-,449,"12,253",862,372,0,0,0,0,0,0,0,0,"13,487","1,460",103,44,0,0,0,0,0,0,0,0,"1,607","21,18,593","22,334","15,211",0,0,0,0,0,0,275,0,"21,56,413","2,52,460","2,661","1,813",0,0,0,0,0,0,33,0,"2,56,967"
